X,Y
0,0.074507123
0.094721387,0.261307681
0.189442773,0.648732733
0.28416416,1.025448854
0.378885546,0.973321047
0.473606933,1.143415563
0.568328319,1.539722885
0.663049706,1.495279755
0.757771092,1.342144207
0.852492479,1.486499358
0.947213865,1.295911625
1.041935252,1.233107071
1.136656638,1.264559148
1.231378025,0.865004624
1.326099412,0.825358428
1.420820798,0.948579456
1.515542185,0.85263973
1.610263571,1.049469654
1.704984958,0.890282321
1.799706344,0.862364241
1.894427731,1.359696739
1.989149117,1.181513591
2.083870504,1.30120442
2.17859189,1.142607566
2.273313277,1.318844853
2.368034664,1.430552241
2.46275605,1.215933621
2.557477437,1.375329539
2.652198823,1.112410492
2.74692021,0.996069114
2.841641596,0.744571998
2.936362983,0.872290328
3.031084369,0.326143278
3.125805756,-0.111305781
3.220527142,-0.112195333
3.315248529,-0.69116294
3.409969915,-0.726882158
3.504691302,-1.269859887
3.599412689,-1.352514599
3.694134075,-1.25586547
3.788855462,-1.259721738
3.883576848,-1.384398897
3.978298235,-1.42617586
4.073019621,-1.419059527
4.167741008,-1.536295717
4.262462394,-1.349084392
4.357183781,-1.233475731
4.451905167,-0.935883884
4.546626554,-0.988456575
4.64134794,-1.271984943
4.736069327,-0.952228032
4.830790714,-1.07847282
4.9255121,-1.166364844
5.020233487,-1.036229367
5.114954873,-1.047851931
5.20967626,-1.139201528
5.304397646,-1.472510827
5.399119033,-1.441412332
5.493840419,-1.364491092
5.588561806,-1.249432387
5.683283192,-1.405675813
5.778004579,-1.253034187
5.872725966,-1.23597033
5.967447352,-1.051103893
6.062168739,-0.514715112
6.156890125,-0.170446196
6.251611512,-0.105444247
6.346332898,0.339344215
6.441054285,0.518116048
6.535775671,0.621753552
6.630497058,0.996457434
6.725218444,1.357477984
6.819939831,1.261261152
6.914661217,1.594245008
7.009382604,1.013539387
7.104103991,1.534887762
7.198825377,1.394739077
7.293546764,1.280826698
7.38826815,1.267624017
7.482989537,0.878820011
7.577710923,1.072292337
7.67243231,1.101259724
7.767153696,1.232900597
7.861875083,0.922352921
7.956596469,0.894341079
8.051317856,0.98071418
8.146039242,1.253742411
8.240760629,1.23899066
8.335482016,1.187007736
8.430203402,1.413387991
8.524924789,1.403304114
8.619646175,1.558695288
8.714367562,1.296421473
8.809088948,1.298172088
8.903810335,1.187747645
8.998531721,0.879483243
9.093253108,0.951909499
9.187974494,0.717125519
9.282695881,0.419901714
9.377417267,0.106628675
9.472138654,-0.354122356
9.566860041,-0.482231494
9.661581427,-0.729374405
9.756302814,-1.027833048
9.8510242,-1.123203342
9.945745587,-1.185956239
10.04046697,-1.064393525
10.13518836,-1.375542766
10.22990975,-1.374765981
10.32463113,-1.399909368
10.41935252,-1.624213558
10.51407391,-1.270448848
10.60879529,-1.180643463
10.70351668,-0.746945776
10.79823807,-1.084831881
10.89295945,-0.970383018
10.98768084,-1.005300219
11.08240223,-1.186518196
11.17712361,-0.876269416
11.271845,-0.992453165
11.36656638,-1.058300556
11.46128777,-1.390268019
11.55600916,-1.115258653
11.65073054,-1.591959677
11.74545193,-1.323573822
11.84017332,-1.077932808
11.9348947,-1.508128908
12.02961609,-1.351579718
12.12433748,-1.111824795
12.21905886,-1.017769441
12.31378025,-0.95112103
12.40850164,-0.453586198
12.50322302,-0.348159837
12.59794441,0.165681593
12.6926658,0.235968565
12.78738718,0.869084146
12.88210857,0.754184905
12.97682996,1.021710857
13.07155134,1.347212923
13.16627273,1.14917003
13.26099412,1.429883146
13.3557155,1.61025202
13.45043689,1.153907991
13.54515828,1.374323277
13.63987966,1.317875965
13.73460105,1.31977529
13.82932243,0.942438203
13.92404382,0.866758052
14.01876521,1.099001713
14.11348659,1.045388328
14.20820798,1.045102847
14.30292937,1.09196655
14.39765075,0.99244851
14.49237214,1.19921797
14.58709353,1.285068631
14.68181491,1.207364706
14.7765363,1.65376015
14.87125769,1.479903555
14.96597907,1.231408615
15.06070046,1.468974767
15.15542185,1.139192405
15.25014323,1.271349382
15.34486462,1.149698706
15.43958601,0.635109349
15.53430739,0.652542812
15.62902878,0.297494209
15.72375017,0.075958166
15.81847155,-0.043648914
15.91319294,-0.631256818
16.00791433,-0.947888415
16.10263571,-1.173250341
16.1973571,-1.324877838
16.29207848,-1.330540093
16.38679987,-1.337409862
16.48152126,-1.372410232
16.57624264,-1.276424774
16.67096403,-1.35436951
16.76568542,-1.073045078
16.8604068,-1.255078561
16.95512819,-0.731824049
17.04984958,-0.980359694
17.14457096,-1.155059566
17.23929235,-1.162966429
17.33401374,-0.932193536
17.42873512,-1.066442003
17.52345651,-0.976996029
17.6181779,-1.081011017
17.71289928,-1.239189144
17.80762067,-1.429985592
17.90234206,-1.592651362
17.99706344,-1.472092595
18.09178483,-1.284105546
18.18650622,-1.348050484
18.2812276,-1.489701779
18.37594899,-1.152558967
18.47067038,-0.950646447
18.56539176,-0.929572991
18.66011315,-0.528520687
18.75483453,-0.273316019
18.84955592,-0.171445545
